is_number,year,title,revision,section,scope,key_requirements,reference
IS 1366 : 2002,2002,CHEESE HEAD SCREWS,Third Revision,Threaded Fasteners and Rivets,"Requirements for slotted cheese head 2. Dimensions – M1.6, M2, M2.5, M3, (M3.5), M4, screws of product grade A and with the neads from M6, M8, M12 M1.6 to M10. 3. Specification – See Table 1 4. Designation – as per sheet attahced.",,"For detailed information, refer to IS 1366 : 1982. Specification for Slotted cheese head screws (third revision)."
IS 1929 : 1982,1982,HOT FORGED STEEL RIVETS FOR HOT CLOSING,First Revision,Threaded Fasteners and Rivets,"Requirements of hot forged solid mild steel Note 1– The nominal diameters 14, 18, 22, 27 and 33 and high tensile steel rivets (snap head, flat countersunk mm are of second preference. head and flat head rivets) for hot closing in the diameter Note 2 – Preferred lengths 28, 30, 32, 35, 38, 40, 45, 50, range 12 to 36 mm intended for general engineering 55,50, 65, 70, 75, 80, 85, 90, 100,105, 110, 115, 120, 125, 130, 135, 140, 145, 150, 155, 160, 165,170, 175, purposes. 180,185, 190, 195, 200, 205, 210, 215, 220, and 225 mm.","(12 TO 36 mm DIAMETER) | and high tensile steel rivets (snap head, flat countersunk mm are of second preference. | range 12 to 36 mm intended for general engineering 55,50, 65, 70, 75, 80, 85, 90, 100,105, 110, 115, 120, | 3. Tolerances – On length, +1.5, – 0 mm for diameter | 2.1 Range of Preferred Length Diameter Combinations upto 16 mm and +3.0, – 0 mm for diameter above 16 mm. | 260 MPa for mild steel rivets and 280 MPa for high tensile | mm mm mm rivets. | 20 45-125 21.5 snap head rivet of 16 mm diameter having a length of 70 | 22 50-140 23.5 mm shall be designated as ``Snap Head Rivet 16 × 70HT | mm diameter) (first revision).",
IS 2016 : 1967,1967,PLAIN WASHERS,First Revision,Threaded Fasteners and Rivets,"Requirements for plain washers of the Size External Thickness For Bolt/ Screw following types : (Diameterof Hole) Diameter Size (19) 34 3 (M18) 21 37 3 M20 a) Machined washers, for precision and semi- (23) 39 3 (M22) precision grade of general purpose bolts and 25 44 4 M24 screws, in diameter range 1.7 to 155 mm. (28) 50 4 (M27) b) Punched washers, Type A, for black grade general purpose bolts and screws, in diameter range 1.8 31 56 4 M30 to 52 mm. (34) 60 5 (M33) c) Punched washers, Type B, for slotted head 37 66 5 M36 screws, in diameter range 7.8 to 22 mm. (40) 72 6 (M39) 43 78 7 M42","screws, in diameter range 1.7 to 155 mm. | to 52 mm. (34) 60 5 (M33) | screws, in diameter range 7.8 to 22 mm. (40) 72 6 (M39) | For example, a punched washer, Type B of size 14 mm 82 140 12 M80 | 4. Dimensions (in mm) (98) 165 12 (M95)","For detailed information, refer to IS 2016 : 1967 Specification for Plain washers (first revision)."
IS 2155 : 1982,1982,COLD FORGED SOLID STEEL RIVETS FOR HOT,First Revision,Threaded Fasteners and Rivets,"Requirements of cold forged solid steel 3. Tolerances – rivets for hot closing in the diameter range 6 to 16 mm, +0.5 for l ≤ 10; intended for general engineering purposes. +1.0 for 10 < l ≤ 20; 0","CLOSING (6 TO 16 mm DIAMETER) | rivets for hot closing in the diameter range 6 to 16 mm, +0.5 for l ≤ 10; | mm mm mm test without exhibiting any sign of marking at the fillet | 12 20-100 13 mm diameter having a length of 30 mm shall be designated | Note 1– The nominal diameter 14 mm is of second preference. | 80,85, 90, 95, 100, 105, 110 mm. | (6 to 16 mm diameter) (first revision).",
IS 2585 : 1968,1968,BLACK SQUARE BOLTS AND NUTS,First Revision,Threaded Fasteners and Rivets,Requirements for black square bolts and 2.1 Mechanical Properties – Bolts and screws shalll nuts in the diameter range 6 to 39 mm and black square conform to the property class 4.6 and those for nuts to screws in the diameter range 6 to 24 mm. property class as specified in the prescribed standard.,(DIAMETER RANGE 6 TO 39 mm) AND BLACK SQUARE SCREWS | (DIAMETER RANGE 6 TO 24 mm) | nuts in the diameter range 6 to 39 mm and black square conform to the property class 4.6 and those for nuts to | screws in the diameter range 6 to 24 mm. property class as specified in the prescribed standard. | Size (mm) | 4. Dimensions (in mm) | Size Nominal Maximum Minimum Thickness Length of Length of | * Range of preferred lengths for bolts (bolts with lengths less than the minimum preferred lengths are to be treated as screws). | 6 to 39 mm) and black square screws (diameter range 6 to 24 mm) (first revision).,
IS 2687 : 1991,1991,CAP NUTS,Second Revision,Threaded Fasteners and Rivets,"Requirements for cap nuts of product 2. Technical Supply Conditions Grade A in the size range M4 to M48 with coarse pitch and fine pitch threads. Tolerances Product Grade A Screw Threads Tolerance 6H Material Steel Stainless Steel Non-ferrous Metal Mechanical Property <M36 : 5 <36 : Al – 50 Brass or Properties Class >M36: as agreed >M36 : as agreed Al. Alloy by purchaser by purchaser and supplier and supplier Min 300 N/mm2 As produced or Bright As produced electroplated Finish coatings Hot-dip galvanized coatings 3. Dimensions – M4, M5, M6, M8, M10, M12, M16, 4.2.1 A Cap Nut of thread size M10 and made of brass M20, M24, M30, M36, M42, and M48. shall be designated as—Cap Nut IS 2687: M10 Brass Note – For details See Table 1 of the standard. 5. General Requirements 4. Designation 5.1 With r",,"For detailed information, refer to IS 2687 : 1991."
IS 2998 : 1982,1982,COLD FORGED STEEL RIVETS FOR COLD,First Revision,Threaded Fasteners and Rivets,"Requirements of cold forged rivets, for cold 4. Tolerances closing in the diameter range 1 to 16 mm, intended for +0.5mm for ≤10 general engineering purposes. —0","CLOSING (1 TO 16 MM DIAMETER) | closing in the diameter range 1 to 16 mm, intended for +0.5mm for ≤10 | 5.1 Shear Test – Minimum shear strength shall be 230 | Diameter Range of Preferred Diameter of MPa for Grade 1 and 200 MPa for Grade 2. | mm mm mm 5.2 Hardness Test – Hardness on the head of rivet | 5 10-45 5.3 rivet, with a countersunk angle of 900, diameter 4 mm, | length 24 mm and made from material Grade 2 shall be | Note 1– The nominal diameters 1.4, 3.5, 7 and 14 mm are 16, 18, 20, 22, 24, 26, 28, 30, 32, 35, 38, 40, 42, 45, 48, | Note 2– Preferred Lengths 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 110 mm. | 16 mm diameter) (first revision).",
IS 3063 : 1994,1994,FASTENERS-SINGLE COIL RECTANGULAR SECTION SPRING LOCK WASHERS,Second Revision,Threaded Fasteners and Rivets,"Requirements for single coil rectangular 6.1 In case the spring washer is intended for use with section spring lock washers suitable for use with bolt/ LH thread, the designation shall be modified as follows: nut assemblies involving fasteners of property class 5.8 Spring Lock Washer LH-A 10 IS 3063 Phosphate coated or less in the size range 2 to 100 mm. 7. General Requirements","or less in the size range 2 to 100 mm. | and 100 mm. serviceability. | 27, 33, 39 and 45 mm. | Example – A spring lock washer of nominal size 10 mm,",
IS 3121 : 1981,1981,RIGGING SCREWS AND STRETCHING SCREWS,First Revision,Threaded Fasteners and Rivets,"Requirements regarding materials, Note 1— Safe working load = 1/2 proof load components, dimensions, finishing and tests for rigging Note 2– Tolerance ±5 percent on all dimensions Note 3– For detailed dimensions and shapes of riggings crews, screws and stretching screws (double-ended and single- tubular body, screwed eye, screwed fork, screwed stud ended) of the following nominal size : eye and stretching screws (open body, screw eyes and a) Rigging screws – M12 to M90 swivel eye), refer to Tables 1 to 6 of the Standard. b) Stretching screws – M6 to M52","components, dimensions, finishing and tests for rigging Note 2– Tolerance ±5 percent on all dimensions | Screw) Closed/mm Open/ mm kN | (Dia of Screw) mm kN proof load without any sign of defect.",
IS 3468 : 1991,1991,PIPE NUTS,Second Revision,Threaded Fasteners and Rivets,Requirements for pipe nuts in the size range Note 1 – For detailed dimension see Table 1 of the standard. G 1/8 to G6. Note 2 – Sizes shown within braclcets are of second preference.,"3. Dimensions—Thread sizes 1 3 1 5 3 7 1 1 G , G , G , G , G , G ,G1, (G1 ) , (G1 ) 4 8 2 8 4 8 8 4 1 3 1 1 (G1 ) , (G1 ) , G2, (G 2 ) , (G 2 ) , G3, G4, 2 4 4 2 G5 and G6. Product grade B Tolerances Indian Standard IS 1367 (Part 2) : 1979 * Type : Pipe threads Threads Indian Standard IS 2643 Material Steel Stainles Steel Brass Minimum Mechanical Property Class 14 H A2-50 tensile strength 300 MPa properties Indian Standard IS 1367(Part 7) IS 1367(Part 14)+ 3. Designation 4. General Requirements 3.1 The pipe nuts shall be designated by 4.1 With respect to surface discontinuities, the pipe nomenclature, thread size and number of this standard. nuts shall conform to IS 1367 (Part 10). 3.1.1 A pipe nut of thread size G6 shall be designated 4.2 In respect of requirements not covered in this as— Pipe Nut G 6 – IS 3468 standard, the nuts shall conform to IS 1367 (Part 1) : 3.2 When the pipe nuts are manufactured from stainless steel or brass, the word `stainless steel’ or `Brass’ shall be added at the end of the designation. 3.2.1 A pipe nut of thread size G 3/8 and made from * Technical supply conditions for threaded steel fasteners (Various Parts) brass shall be designated as + Dimension, tolerances and designatino for pipe threads where – Pipe Nut G 3/8 – IS 3468-Brass pressure – tight joints are not made on the threads. + As per sheet attached † As per sheet attached","For detailed information, refer to IS 3468 : 1991 Specification for pipe nuts (second revision)."
IS 3757 : 1985,1985,HIGH STRENGTH STRUCTURAL BOLTS,Second Revision,Threaded Fasteners and Rivets,"Requirements for large series hexagon, high 3. Grade – The bolts shall be of product grade C as strength structural steel bolts in property classes 8.8 specified in IS 1367(Part 2) * and 10.9 and in the size range M16 to M36 with short thread lengths suitable for use in both friction-type and 4. Mechanical Properties –The bolts shall as bearing-type structural steel joints. Bolts to this standard specified in prescribed standard. when matched with the appropriate nuts have been 5. Finish – Shall be in dull black heat treated condition designed to provide an assembly with a high level of with a residual coating of light oil. assurance against failure by thread stripping on overtightening. Where property class 8.8 bolts are required to be hot dip galbanized they shall be galvanized in accord",2.2 Recommended length size combinations shall be | For commercial bolts and nuts (diameter range 1 to 52 mm),
IS 4762 : 1984,1984,WORM DRIVE CLAMPS FOR GENERAL PURPOSE,First Revision,Threaded Fasteners and Rivets,"Requirements for worm drive hose clamps 6.2 After expanding until the band is disconnected for general purposes. from the screw, it shall be to open clamps of size 35 and above to provide a gap equal to the largest diameter of","4.2 Band – Shall have a thread form commencing at the corrosion-resistant materials shall be protected against | 5.1 A hose clamp of size 25 mm shall be designated as efficient functioning of the clamp when tightened to 75 | – Hose clamp 25 – IS 4762. percent of torque load specified. Also, the torque load",
IS 5369 : 1975,1975,GENERAL REQUIREMENTS FOR PLAIN WASHERS AND LOCK WASHERS,First Revision,Threaded Fasteners and Rivets,"General requirements and permissible 3. Requirements deviation for plain washers, lock washers and similar 3.1 Finish —Natural. May be phosphate-coated, parts. nickel plated, tinned, galvanized, copper-plated or cadmium-coated.","3.2 Shall be free from cracks, burrs, pits and other defects. All sharp edges shall be removed. Note– For permissible deviation on main dimensions and concentricity of the hole with respect to outside diameter of precision grade washers as well as of ordinary grade washers, refer to Tables 1 to 4 of the standard.",
IS 5372 : 1975,1975,TAPER WASHERS FOR CHANNELS (ISMC),First Revision,Threaded Fasteners and Rivets,"Requirements for taper washers for use Note 1– L × B are dimensions for taper washers in plan. with Indian Standard Medium Weight Channels (ISMC) Note 2– Sizes shown in brackets are of second preference. with bolts in diameter range of 10 to 39 mm. Note 3 – For detailed dimensions, refer to Table 1 of the standard.","with bolts in diameter range of 10 to 39 mm. Note 3 – For detailed dimensions, refer to Table 1 of the | 2. Dimensions (in mm) | washer of nominal size 18 mm shall be designated as",
IS 5373 : 1969,1969,SQUARE WASHERS FOR WOOD FASTENINGS,,Threaded Fasteners and Rivets,Requirements for square washers intended 39 110 8 M36 for use in wood fastenings with bolts in diameter range (42) 125 8 (M39) 10 to 52 mm. 45 135 8 M42,2. Dimensions (in mm) | 23 60 5 M20 wood fastenings having a nominal size of 18 mm shall,"For detailed information, refer to IS 5373 : 1969 Specification for square washers for wood fastenings."
IS 5374 : 1975,1975,TAPER WASHERS FOR I-BEAMS (ISMB),First Revision,Threaded Fasteners and Rivets,"Requirements for taper washers for use with Note 1– L × B are dimensions for taper washers in plan Indian Standard Medium Weight Beams (ISMB) with Note 2– Sizes shown in brackets are of second preference. bolts of 10 mm to 39 mm diameter. Note 3– For detailed dimensions, refer to Table 2 of the Standard.",bolts of 10 mm to 39 mm diameter. | 2. Dimensions (in mm) 3. Grade – ‘Ordinary’ grade of IS : 5369-1975 * | Size (See Note 1) Size nominal size 18 mm shall be designated as `Taper Washer,
IS 5624 : 1993,1993,FOUNDATION BOLTS,First Revision,Threaded Fasteners and Rivets,"Requirements for foundation bolts in the 3. Dimensions – M8, M10, M12, M16, M20, M24, M30, size range M8 to M72. M36, M42, M48, M56, M64, and M72",Example – A foundation bolt of thread size M20 and 200 mm and hot dip galvanized shall be designated as– | length 200 mm shall be designated as – Foundation Bolt Foundation Bolt M20 × 200 IS 5624 GALV | 200 mm supplied with hexagon nut shall be designated,
IS 6113 : 1970,1970,ALUMINIUM FASTENERS FOR BUILDING PURPOSES,,Threaded Fasteners and Rivets,"Requirements for J-type hook bolts and 2.2 Grade — Black Grade B. nuts, mushroom head seam bolts and nuts, and washers of aluminium for roofing sheets. 3. Dimensions (in mm)","of aluminium for roofing sheets. 3. Dimensions (in mm) | 7, 10 and 12 for size 5, 6, 8 and 10 respectively. length 20 mm and material HG 19 shall be designated as","For detailed information, refer to IS 6113 : 1970 Specification for aluminium fasteners for building purposes."
IS 6610 : 1972,1972,HEAVY WASHERS FOR STEEL STRUCTURES,,Threaded Fasteners and Rivets,Requirements for heavy washers for use in 2. Dimensions (in mm) steel structures in the diameter range 14 to 42 mm. Nominal Tolerance on Outer Dia Tolerance Thickness Suitable for Size Size on Outer Bolt Size (Diameter) Dia 14 +0.43 24 -1.30 8 M12 18 +0.43 30 -1.30 8 M16 22 +0.52 37 -1.60 8 M20 24 +0.52 39 -1.60 8 M22 26 +0.52 44 -1.60 8 M24 30 +0.52 50 -1.60 8 M27 33 +0.62 56 -1.90 8 M30 36 +0.62 60 -1.90 8 M33 39 +0.62 66 -1.90 8 M36 42 +0.62 72 -1.90 8 M39,1. Scope – Requirements for heavy washers for use in 2. Dimensions (in mm) | steel structures in the diameter range 14 to 42 mm.,"For detailed information, refer to IS 6610 : 1972 Specification for heavy washers for steel structures."
IS 6623 : 2004,2004,HIGH STRENGTH STRUCTURAL NUTS,Second Revision,Threaded Fasteners and Rivets,"Requirements for large series hexagon, high 4. Mechanical Properties – Shall be of property class strength structural steel nuts in property classes 8 and B 10 as per the specified standard, except that all nuts 10 and in the size range M16 to M36 suitable for use in shall be or C hardened and then tempered at a both friction-type and bearing-type structural steel temperature of atleast 4250c and the proof load and connections. Nuts to this standard when matched with hardness values as given in Table 2 of the standard. the appropriate bolts have been designed to provide an assembly with a high level of assurance against failure 5. Finish : Shall be supplied in the dull black heat- by thread stripping on overtightening. treated condition with a residual coating of light oil. Note – Attentio","2.1 Thread Sizes – M12, M16, M20, (M22), M24, to the anti-seizing test. (M27), M30 and M36 6. Requirements —In regard to permissible surface Note 1 – Sizes shown in brackets are of second preference discontinuities, the nuts shall conform toIS 1367 Note 2 – For detailed dimensions refer to Table 1 of the (Part 10) :2002 * standard 6.1 In regard to requirements not covered in the standard, the nuts shall conform to IS 1367 (Part1) :2002+ 2.2 Threads of the nuts shall be in a condance to IS 4218 [Parts (1, 2, 3 and 4)] 6.2 The high strength structural bolts to be used with these nuts shall conform to the requirements of IS : 3757** 3. Grade – Unless other wire specified the nuts shall be of product grade B as specified in IS 1367 (Part 2). 7. Designation — Shall be designated by name , size, the number of this standard and the property class The tolerances on the threads shall conform to tolerance identification symbol 8s or 10s. In case of hot dip 6H of IS 14962 [Part (1, 2 and 3) and in case of hot dip galvanized nuts the word galvanized shall be added to galramized with the tolerances shall be in accordance the designation. with IS 14962 [(Part 4 and 5)] Example – A high strength structural nut of size M24, propery class 8 and galvanized shall be designated as * Technical supply conditions for threaded steel fasteners — High Strength Structural Nut M24 IS 6623—8S (various parts) Galvanized + ISO metric Threads ** High strength structural bolts (second revision)","For detailed information, refer to IS 6623 : 2004 Specification for high strength structural nuts (second revision)."
IS 6639 : 1972,1972,HEXAGON BOLTS FOR STEEL STRUCTURES,,Threaded Fasteners and Rivets,"Requirements for hexagon bolts in the size Note1—For other requirements of bolts, refer to IS 1367 range 12 to 39 mm for steel structures. (Part1) and IS 14394** and for requirements of hexagon nuts used with bolts, refer to IS 1363 (Part3). Note 2—For approximate weight of bolts with nuts, refer to",range 12 to 39 mm for steel structures. (Part1) and IS 14394** and for requirements of hexagon | 2. Dimensions (in mm) Appendix A of the standard for guidance. | withstand a minimum shear stress of 260 MPa (for bolt,"For detailed information, refer to IS 6639 : 1972 Specification for hexagon bolts for steel structures."
IS 6649 : 1985,1985,HARDENED AND TEMPERED WASHERS FOR HIGH STRENGTH STRUCTURAL BOLTS AND NUTS,First Revision,Threaded Fasteners and Rivets,"Requirements for through hardened and 6. Hardness – Shall be between 35 to 45 HRC. The tempered steel washers intended for assembly with large minimum for hot-dip galvanized washers shall be 26 series hexagon, high strength structural bolts and nuts HRC. in the size range M16 to M36. 7. Finish – Shall be supplied in the dull black heat-",tempered steel washers intended for assembly with large minimum for hot-dip galvanized washers shall be 26 | Type C– Square taper washers for use with I-beams that the minimum value of average mass of coating shall | 3.2 The washers shall be flat with a maximum deviation these washers shall conform to the requirements of | not exceeding 0.25 mm from the straightedge laid along IS 3757:1985. # | outside dimensions within 0.50 mm. IS 6623:1985. *,
IS 6733 : 1972,1972,WALL AND ROOFING NAILS,,Threaded Fasteners and Rivets,"Requirements of wall and roofing nails. 3. Designation – Shall be designated by size, length and the number of the standard.","2. Dimensions (in mm) | Shank) Nails/kg | 2.1 Maximum eccentricity and ovality of the centre of 6. Test | the nail head from axis of shank shall be 14 percent of | Note 1— For tolerance, refer to Table 1 of the standard. from a hammer until the internal radius is equal to the","For detailed information, refer to IS 6733 : 1972 Specification for wall and roofing nails."
IS 6736 : 1972,1972,SLOTTED RAISED COUNTERSUNK HEAD WOOD SCREWS,,Threaded Fasteners and Rivets,Requirements for slotted raised 12 5.59 5.72 5.38 20-75 14 6.30 6.43 6.05 25-75 countersunk head wood screws. 16 7.01 7.14 6.76 30-75 18 7.72 7.85 7.47 30-75,"2. Dimensions (in mm) 20 8.43 8.56 8.18 30-75 | Lengths 45, 50, 55, 60, 65, 70 and 75mm | 7 3.81 3.94 3.68 12-40 countersunk head wood screw No. 8, length 20 mm and","For detailed information, refer to IS 6736 : 1972 Specification for slotted raised countersunk head wood screws."
IS 6739 : 1972,1972,SLOTTED ROUND HEAD WOOD SCREWS,,Threaded Fasteners and Rivets,Requirements for slotted round head 12 5.59 5.72 5.38 20-75 wood screws. 14 6.30 6.43 6.05 25-75 16 7.01 7.14 6.76 30-75 18 7.72 7.85 7.47 30-75,"2. Dimensions (in mm) 20 8.43 8.56 8.18 30-75 | Screw Preferred 45, 50, 55, 60,65, 70 and 75 mm | 7 3.81 3.94 3.68 12-40 wood screw No. 8, length 20 mm and made of steel shall","For detailed information, refer to IS 6739 : 1972 Specification for slotted round head wood screws."
IS 6760 : 1972,1972,SLOTTED COUNTERSUNK HEAD WOOD SCREWS,,Threaded Fasteners and Rivets,Requirements for slotted countersunk head 12 5.59 5.72 5.38 20-100 wood screws. 14 6.30 6.43 6.05 30-100,"2. Dimensions (in mm) 16 7.01 7.14 6.76 30-200 | (See Note1) 175 and 200 mm | 6 3.45 3.58 3.33 12-40 head wood screw No. 8, length 20 mm and made of steel","For detailed information, refer to IS 6760 : 1972 Specification for slotted countersunk wood screws."
IS 8033 : 1976,1976,WASHERS WITH SQUARE HOLE FOR WOOD FASTENINGS,first revision,Threaded Fasteners and Rivets,"Requirements for washers with square hole 4. Designation – As an example, a round washer with for use in wood fastenings with bolts in dia range 6 to 24 square hole of nominal size 14 mm shall be designated mm. as `Washer With Square Hole 14 IS : 8033’.",for use in wood fastenings with bolts in dia range 6 to 24 square hole of nominal size 14 mm shall be designated | mm. as `Washer With Square Hole 14 IS : 8033’. | 3. Dimensions (in mm),
IS 8412 : 1977,1977,SLOTTED COUNTERSUNK HEAD BOLTS FOR STEEL STRUCTURES,,Threaded Fasteners and Rivets,Requirements of slotted countersunk head bolts for steel structures in the dia range 10 to 24 mm. 3. Grade – Black grade (B) as specified in the prescribed standard.,"bolts for steel structures in the dia range 10 to 24 mm. 3. Grade – Black grade (B) as specified in the | 2. Dimensions (in mm) | head bolt of nominal size M16, length 70 mm with nut | 65, 70, 75, 80, 90, 100, 110, 120, 130, 140, 150 and 160 mm. countersunk head bolts shall conform to the",
IS 8869 : 1978,1978,WASHERS FOR CORRUGATED SHEET ROOFING,,Threaded Fasteners and Rivets,Requirements for washers for corrugated Note 1—The dimensions given in the above table shall be sheet roofing. applicable to all types of washersmentioned in 2 and 2.1. Note 2— For detailed dimensions and shapes of washers of all,3. Dimensions (in mm) impregnated. These washers when heated and,"For detailed information, refer to IS 8869 : 1978 Specification for washers for corrugated sheet roofing."
IS 278 : 1978,1978,GALVANIZED STEEL BARBED WIRE FOR FENCING,Third Revision,Wire Ropes and Wire Products,"Requirements for two types of galvanized 4.2 Freedom from Defects steel barbed wire with two strands of wire. 4.2.1 Line and point wires shall be circular in section,",3. Sizes (in mm) as: | 1. 2.50 2.50 136-155 75±12 390 to 590 N/mm2. Minimum breaking loads of completed | minimum medium coated wire given in IS 4826 : 1979†. | subject to a reduction of not more than 15 percent of | 3.1 Tolerances – ± 0.08 mm on diameter of line wire and the specified values.,
IS 2140 : 1978,1978,STRANDED GALVANIZED STEEL WIRE FOR FENCING,First Revision,Wire Ropes and Wire Products,"Requirements for galvanized strand fencing 2. Dimensions wire of 3-ply and 7-ply construction. 2.1 Wire Strand, 3-Ply Construction Nominal Dia Minimum Breaking Load Length of Tolerance on of Single Wire Lay Length of Lay SingleWire Completed 540 N/mm2 Strand* mm N N mm mm 1.60 1080 3078 40 ±10 2.24 2160 6156 50 ±10 2.50 2700 7695 60 ±10 2.80 3240 9234 60 ±10 3.15 4320 12312 70 ±10 3.55 5400 15390 80 ±10 *The minimum breaking load of the completed strand is 95 percent of the minimum aggregate breaking load. 2.2. Wire Strand, 7- Ply Construction Nominal Dia Minimum Breaking Load Length of Tolerance on of Single Wire Lay Length of Lay SingleWire Completed 540 N/mm2 Strand ** mm N N mm mm 0.50 135 898 40 ±10 0.80 270 1796 50 ±10 1.25 735 4888 60 ±10 1.60 1080 7182 60 ±10 2.24 2160 14362 70 ±10","Nominal Dia Minimum Breaking Load Length of Tolerance on | 540 N/mm2 Strand* | mm N N mm mm | *The minimum breaking load of the completed strand is 95 percent of the minimum aggregate breaking load. | Nominal Dia Minimum Breaking Load Length of Tolerance on | 540 N/mm2 Strand ** | mm N N mm mm | **The minimum breaking load of the completed strand is 95 percent of the minimum aggregate breaking load. | strength of 540 N/mm2, Min. 5. Freedom from Defects – Shall be free from scale, | * Mild steel wire for general engineering purposes (third revision). 6.1 Minimum Breaking Load — As given in 2.1 and 2.2",
IS 2365 : 1977,1977,"STEEL WIRE SUSPENSION ROPES FOR LIFTS, ELEVATORS AND HOISTS",First Revision,Wire Ropes and Wire Products,"Requirements of steel wire ropes for use 2.2 The actual diameter of rope shall be within +4 and- with lifts, elevators and hoists having cars or platforms 1 percent of the nominal diameter. carrying passengers or goods and working in guides. Does not apply to ropes used for winding purposes in 3. General Requirements – The wire ropes shall mines. Following rope constructions and size ranges conform to IS 6594 : 1977* and also meet the following are covered: requirements of 3.1 to 3.3. Construction Tensile Disignation Core Size Range 1230 1420 1570 Fibre Steel mm 6×19(12/6/1) × × × × -- 6 to 12 6×19(9/9/1) × × × × -- 6 to 20 6×19(12/6+6F/1) × × × × -- 6 to 20 8×19(9/9/1) × × × × -- 8 to 20 8×19(12/6+6 F/1) × × × × -- 8 to 20","with lifts, elevators and hoists having cars or platforms 1 percent of the nominal diameter. | 1230 1420 1570 Fibre Steel mm | 2. Rope Size, Tolerance and Minimum Breaking load 3.1 The main core of rope shall be of fibre only. | 2.1 The sizes of the rope, designated as ‘nominal of wires 0.5 mm diameter and smaller. | 20 mm. Size range of breaking load and mass for different 3.3 The mass of ropes given in 2.1 are for fully greased | Nominal Approximate Range of Minimum Breaking Load Corresponsing | mm kg/100m 1230 1420 1570 | Note 1–The nominal diameter 19 mm is non-preferred. | Note 2–For exact value of minimum breaking load and approximate mass corresponding to each rope construction. refer to",
IS 2721 : 1979,1979,GALVANIZED STEEL CHAIN LINK FENCE FABRIC,First Revision,Wire Ropes and Wire Products,"Requirements for galvanized steel chain 2. Dimensions – See Table fence fabric intended for various purposes. This standard does not cover the requirements pertaining to 2.1 Mesh Size – Shall be determined by measuring the straining posts, struts, base plates and other fittings. minimum clear distance between the wires forming the parallel sizes of the mesh when measured in normal","straining posts, struts, base plates and other fittings. minimum clear distance between the wires forming the | mm mm mm Up to and Above 2 m | 2.00 2.50 2 3 the range of 400 to 550 MPa. | 6. Test – 6.4 Bend test– Mesh wire and line wire of 5 mm diameter | range of 400 to 550 N/mm2. | 6.5 Galvanizing Test – Shall be up to 10 percent less | than the minimum mass of zinc coating specified in the | not less than 18 twists on a length equal to 100 diameters duration less than specified.",
IS 2835 : 1987,1987,FLAT TRANSPARENT SHEET GLASS,Third Revision,Glass,"Requirements and methods of sampling d) C Quality or Greenhouse Quality (GQ) – and test for flat transparent sheet glass for use in the Intended for green house glazing, production of manufacture of photographic plates, projection slides, frosted glass, strips for flooring, etc. silvered glass mirrors, toughened or laminated safety glasses and for glazing and framing purposes. 3. Requirements 3.1 Material – Sheet glass shall be flat, transparent","tolerance on cut size shall be those which are applicable to immediate lower thickness specified in Table 1. | mm mm ± mm | max size, mm 30.0cm | maxsize,mm 60.0cm | v) Bow,percent,Max 0.25 0.25 0.5 0.5 1.0 1.0 | vii) Waviness,mm 10 10 15.0 15.0 20.0 20.0 (see Appendix A | ix) Corner Not more than Not more than Not more than | i) AA Nil One cluster of maximum 3 defects comprising | ii) A One cluster of maximum One cluster of maximum 5 defects of any | iii) B --------do--------- One cluster of maximum 6 defects of any","For detailed information, refer to IS 2835 : 1987 Specifications for flat transparent sheet glass (third revision)."
IS 3438 : 1994,1994,SILVERED GLASS MIRRORS FOR GENERAL PURPOSES,Second Revision,Glass,Requirements and methods of sampling 2.4 Copper Costing — The silvered surface shall be and test for silvered glass mirrors used for general protected by a film of deposited copper. The amount of purposes. copper deposit shall be not less than 0.4 g/m2.,purposes. copper deposit shall be not less than 0.4 g/m2. | shall comply with the requirements prescribed for AA be less than 80 percent for clear (untinted) glass mirrors.,
IS 5437 : 1994,1994,"FIGURED, ROLLED AND WIRED GLASS",First Revision,Glass,"Requirements and methods of sampling and test for figured, rolled and wired glass. 4. Specific Requirements for Wired Glass –","2.3 Shall not contain any stones bigger than 2 mm purchaser and the supplier and the maximum tolerance on | diameter or which protrude from either side of the glass. thickness shall be 9 percent of the nominal thickness | 2.4 Stones shall be seperated by at least 60 cms. wired glass shall be ± 3.0 mm. | 2.5 The glass sheet shall have not more than one 4.3 Wire Mesh – The wire mesh used in the wired glass | gaseous inclusion greater than 3.5 mm or equivalent or wired figured glass shall be made of steel wire 0.46 to | elliptical inclusion up to 20 mm long in 1m2 of each cut 0.56 mm in diameter. The pattern of mesh shall be | 2.6 Warpage – Shall not be more than 1 percent. wires twisted. In the case of welded mesh, the wire | 3.1 Thickness and dimensional tolerances of figured embedded completely in the glass sheet at least 1mm | (mm) (mm) (mm) 4.6 Flame Proofness – Shall satisfy the prescribed test.","For detailed information, refer to IS 5437 : 1994 Specifications for figured, rolled and wired glass (first revision)."
